Ngày,Giải Đặc BIệt,Giải Nhất,Giải Nhì,Giải Ba,Giải Tư,Giải Năm,Giải Sáu,Giải Bảy
28-03-2018,23588,71527,"{76950, 30288}","{96471, 40220, 52454, 59932, 42071, 81229}","{4262, 5232, 5767, 4869}","{2409, 3851, 3971, 1381, 0050, 1355}","{826, 292, 764}","{85, 42, 94, 21}"
29-03-2018,46168,35100,"{45442, 42480}","{59444, 14247, 49844, 40976, 69608, 87369}","{5588, 2058, 0613, 8750}","{6544, 4735, 2565, 6190, 1993, 0367}","{883, 262, 435}","{00, 98, 38, 03}"
30-03-2018,44900,01901,"{42632, 14394}","{30320, 97647, 07411, 77685, 83007, 19932}","{2110, 1159, 1924, 6040}","{1728, 2230, 6406, 1103, 0816, 3736}","{483, 540, 546}","{90, 11, 76, 47}"
31-03-2018,34439,50618,"{82806, 47504}","{81312, 28374, 64402, 96580, 20561, 99757}","{4464, 2614, 1283, 9395}","{9195, 4270, 3588, 0708, 4486, 9241}","{661, 946, 612}","{93, 23, 98, 87}"
01-04-2018,75571,12597,"{47176, 45144}","{46991, 67618, 10970, 52011, 41155, 54675}","{3076, 1496, 2122, 1056}","{3526, 9290, 3196, 5705, 6220, 3395}","{480, 715, 079}","{88, 17, 29, 31}"
02-04-2018,19012,66979,"{66283, 59645}","{80549, 79685, 85104, 14261, 20182, 12310}","{2145, 4555, 5076, 8695}","{9468, 8874, 2843, 1640, 7513, 2174}","{241, 219, 499}","{37, 10, 56, 42}"
03-04-2018,85446,75389,"{13918, 48474}","{18273, 07435, 22154, 92954, 28360, 14724}","{2888, 6982, 1062, 5422}","{6876, 7493, 6976, 6148, 2507, 4808}","{563, 503, 603}","{96, 08, 53, 21}"
04-04-2018,64482,92209,"{60893, 76843}","{51317, 77427, 46594, 63274, 19907, 83138}","{3108, 2868, 2251, 7267}","{6192, 7082, 8196, 0340, 3863, 7013}","{752, 226, 355}","{87, 10, 86, 36}"
05-04-2018,37294,18441,"{34500, 50110}","{52810, 45767, 07407, 91528, 61584, 66582}","{8746, 9746, 0913, 6900}","{4650, 9897, 5864, 8577, 7718, 6082}","{935, 433, 855}","{64, 67, 65, 58}"
06-04-2018,76309,71344,"{83091, 96467}","{53774, 13828, 45210, 96430, 00268, 97985}","{6901, 5154, 0681, 2740}","{7871, 5796, 3601, 4815, 7569, 1885}","{229, 397, 880}","{61, 97, 26, 66}"
07-04-2018,91498,08703,"{86633, 51921}","{21822, 96596, 44238, 47228, 60976, 15357}","{3728, 1213, 9097, 5452}","{2152, 5723, 3408, 4863, 5876, 2240}","{845, 195, 218}","{43, 61, 47, 39}"
08-04-2018,61763,83146,"{05528, 17586}","{96297, 30089, 08951, 61098, 50545, 13488}","{0064, 9216, 4162, 1943}","{0784, 6735, 0390, 4268, 8042, 7695}","{144, 116, 015}","{59, 63, 38, 01}"
